ТН;Должность;Ставка;Оклад (основной);Оклад (совместительство);Почасовая оплата;Итого
73168;Старший преподаватель;0,5;;2789,79;;3708,98
301070;Доцент;0,5;4311,5;;;5005,65
177337;Старший преподаватель;0,5;;4311,5;;4449,47
302592;Ассистент;0,5;5392,0;4009,5;8761,5;20019,5
164548;Старший преподаватель;1,5;8623,0;4311,5;;13348,41
303223;Старший преподаватель;1,5;8623,0;4311,5;4543,0;16330,73
1448;Старший преподаватель;1,0;5392,0;3449,2;;12666,73
302388;Старший преподаватель;1,0;8623,0;;;8157,36
303515;Старший преподаватель;0,9;7760,7;;;8009,04
9423;Преподаватель;0,75;6014,25;;;6206,71
303080;Ассистент;0,35;3969,0;2806,65;;7875,06
302499;Старший преподаватель;1,5;8623,0;4311,5;5192,0;17813,53
2128;Старший преподаватель;0,9;7760,7;;;8676,46
2797;Доцент;0,5;;4915,0;;6841,68
1481;Ассистент;0,35;5392,0;2806,65;3499,98;13548,18
161918;Доцент;1,5;8623,0;4311,5;813,04;15716,17
302677;Старший преподаватель;0,5;;4311,5;;4078,68
302677;Старший преподаватель;1,0;8623,0;;9296,92;16152,71
1716;Профессор;1,0;11065,0;5230,5;9225,84;34280,8
303468;Ассистент;1,0;8019,0;;;6896,34
302955;Старший преподаватель;1,2;8623,0;1724,6;;11568,62
300818;Старший преподаватель;0,35;;3018,05;;3114,62
9526;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
8321;Доцент;1,5;9830,0;4915,0;4471,72;24415,44
1749;Старший преподаватель;1,0;5392,0;4311,5;;13630,78
302813;Профессор;0,2;2092,2;;;3422,01
114;Доцент;1,0;9830,0;;5183,13;19589,8
105437;Доцент;1,5;8623,0;4311,5;;13904,59
1717;Старший преподаватель;0,65;3626,73;;;6570,83
302804;Ассистент;0,5;3969,0;4009,5;;8667,81
2142;Профессор;1,4;10461,0;4184,4;;23678,68
302908;Ассистент;1,0;8019,0;;;6896,34
160707;Старший преподаватель;0,4;;3449,2;;3262,94
302346;Ассистент;0,5;;4009,5;;3488,27
302833;Старший преподаватель;1,5;8623,0;4311,5;;11253,01
143688;Старший преподаватель;1,0;8623,0;;;8898,94
302689;Доцент;0,5;;4915,0;;6841,68
1607;Профессор;1,0;11065,0;5230,5;;26346,57
4568;Ассистент;0,45;;3608,55;;3724,03
1719;Старший преподаватель;1,5;4565,12;2282,56;1947,0;9330,13
2922;Доцент;1,45;9830,0;4423,5;;20838,63
100802;Старший преподаватель;0,25;;2155,75;;2039,35
70058;Старший преподаватель;0,25;;2155,75;;2250,6
303524;Доцент;0,5;4915,0;;;6340,34
2025;Доцент;1,5;9830,0;4915,0;3658,68;24703,66
164013;Доцент;0,25;2155,75;;;2502,83
2672;Доцент;0,2;;1149,73;;2093,99
2672;Доцент;1,3;5748,67;1724,6;;13163,12
167956;Старший преподаватель;0,25;;2155,75;;2317,43
1953;Старший преподаватель;1,5;8623,0;4311,5;4867,5;18646,82
2269;Ассистент;0,4;5392,0;3207,6;973,5;13233,84
302490;Доцент;1,5;3550,65;1775,32;10528,87;22959,41
302079;Профессор;1,4;9830,0;3932,0;;21303,57
73731;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
302623;Профессор;1,25;9830,0;2457,5;7300,32;25299,33
303213;Доцент;1,5;9830,0;4915,0;;17118,94
303323;Ассистент;0,5;;1886,82;;3415,39
302823;Старший преподаватель;0,5;;4311,5;;4876,31
1472;Старший преподаватель;1,0;8623,0;;;8898,93
165785;Доцент;0,9;7760,7;;;9010,18
432;Профессор;1,5;10461,0;5230,5;;25370,03
303238;Преподаватель;0,25;;2004,75;;1918,55
5772;Доцент;1,5;8623,0;4311,5;3528,06;18051,09
577;Доцент;1,0;9251,76;4625,88;;21122,03
1457;Ассистент;0,9;7217,1;;;8068,72
301829;Доцент;1,5;8019,0;4009,5;5691,28;19480,27
302331;Доцент;1,5;8019,0;4009,5;813,04;14664,3
2746;Профессор;1,4;9845,65;3938,26;;23122,33
303228;Старший преподаватель;0,8;3613,45;;;6155,88
4058;Доцент;1,5;9830,0;4915,0;8130,4;24111,09
101655;Старший преподаватель;1,5;8623,0;4311,5;3894,0;16697,25
8780;Доцент;1,5;9830,0;4915,0;1219,56;22606,01
302687;Преподаватель;1,0;8019,0;;;7585,97
302024;Старший преподаватель;1,5;4057,88;2028,94;;11810,65
71663;Старший преподаватель;1,5;8623,0;4311,5;;13348,41
528;Доцент;1,5;9830,0;4915,0;;21557,18
303073;Ассистент;0,25;2004,75;;;1724,08
2242;Доцент;0,5;4915,0;;;7185,72
174266;Доцент;0,3;;2949,0;;4105,01
5196;Доцент;0,3;;2949,0;;4311,46
302814;Профессор;0,5;5230,5;;;8456,68
302435;Преподаватель;1,3;8019,0;2405,7;3048,9;15931,99
302873;Доцент;0,15;;1474,5;;1924,23
302873;Доцент;0,25;;2457,5;;3207,05
302981;Ассистент;0,5;4009,5;;;3448,16
4513;Старший преподаватель;1,0;8623,0;;;9853,77
302548;Профессор;0,45;;4707,45;;7206,17
302548;Доцент;0,9;9414,9;491,5;;15569,58
302952;Старший преподаватель;1,0;8623,0;;5841,0;14722,18
302713;Ассистент;1,5;5660,47;2830,24;;11973,18
70812;Доцент;1,0;9830,0;;;14538,57
302107;Старший преподаватель;1,0;8623,0;;;8528,15
9709;Доцент;0,5;;4915,0;;7269,28
2215;Профессор;1,0;9830,0;;;15216,84
2937;Доцент;1,0;7021,43;;;13671,91
303154;Старший преподаватель;0,4;;3284,8;;3715,11
302099;Старший преподаватель;1,5;8623,0;4311,5;4065,2;17400,67
302423;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
2144;Доцент;1,5;8623,0;4311,5;;16129,33
303576;Ассистент;1,1;8019,0;801,9;;9209,02
5106;Преподаватель;0,7;5613,3;;;6275,67
583;Ассистент;0,1;5392,0;801,9;;8710,66
2085;Доцент;1,5;9830,0;4915,0;3637,2;24685,18
302549;Доцент;1,5;9830,0;4915,0;2171,5;30905,46
2749;Профессор;0,25;;2615,25;;4003,43
165283;Доцент;1,0;8623,0;;;9269,72
79082;Старший преподаватель;0,25;;2155,75;;2438,16
100784;Доцент;0,5;;4915,0;;6763,04
303206;Ассистент;1,5;8019,0;4009,5;3894,0;15762,25
74763;Доцент;1,0;9830,0;;;14371,46
300410;Старший преподаватель;0,25;;2155,75;;2410,14
300410;Старший преподаватель;1,2;8623,0;1724,6;;11568,61
303074;Профессор;0,25;;2615,25;;4095,48
302762;Ассистент;1,5;8019,0;4009,5;5841,0;15367,76
302900;Доцент;1,5;8623,0;4311,5;4065,2;18513,03
2806;Старший преподаватель;1,0;5392,0;4311,5;6327,75;18608,94
73630;Преподаватель;0,2;8623,0;1603,8;;11433,56
300848;Доцент;0,5;;4915,0;;7185,73
300848;Доцент;1,0;9830,0;;2845,64;16818,71
302049;Ассистент;0,4;;3207,6;;2758,53
303052;Ассистент;0,4;3969,0;3207,6;;8235,57
103427;Доцент;1,5;6938,82;3469,41;12195,6;29570,31
1867;Профессор;0,15;;1569,15;;2566,51
1867;Профессор;0,35;;3661,35;;5988,51
2244;Профессор;1,0;10461,0;;;16913,35
303472;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
303435;Старший преподаватель;1,0;8623,0;;;9640,51
303518;Ассистент;1,1;8019,0;2095,35;;8698,34
102426;Старший преподаватель;0,5;;4311,5;;3707,9
105348;Доцент;1,5;9830,0;4915,0;4065,2;23785,19
1244;Доцент;0,4;;3557,52;;5580,12
1244;Доцент;1,1;8893,81;889,38;4878,24;19327,26
4012;Преподаватель;1,0;8019,0;;;8965,24
4059;Доцент;1,5;8623,0;4311,5;7317,36;22422,26
302858;Ассистент;0,5;4009,5;;;3448,16
301759;Старший преподаватель;0,5;;4311,5;973,5;4973,05
1576;Доцент;0,5;;4915,0;;7269,28
1576;Доцент;1,0;9830,0;;6504,32;20197,33
103614;Доцент;1,5;9830,0;4915,0;5433,14;24961,62
1829;Доцент;1,1;9830,0;983,0;;15808,61
9110;Старший преподаватель;1,0;5392,0;4311,5;;12332,57
302661;Преподаватель;1,5;8019,0;4009,5;2514,87;13541,75
2327;Доцент;0,25;;2457,5;;3592,87
2327;Доцент;1,0;9830,0;;;18598,36
302798;Профессор;0,25;;2615,25;;4049,97
300033;Старший преподаватель;0,2;;1724,6;;1779,78
300033;Старший преподаватель;1,1;8623,0;862,3;;9788,84
103869;Доцент;1,1;9830,0;983,0;;15808,61
302442;Доцент;1,5;6938,82;3469,41;5670,95;25003,94
303482;Старший преподаватель;0,45;;3880,35;;3375,9
302448;Старший преподаватель;1,2;8623,0;4311,5;;13904,6
302841;Старший преподаватель;0,2;;1724,6;;1779,79
302841;Старший преподаватель;0,3;;2586,9;;2669,68
300571;Доцент;1,5;8623,0;4311,5;4390,42;21017,45
1970;Старший преподаватель;1,0;8623,0;;;9640,51
300340;Доцент;1,5;6132,18;3066,09;4878,24;17952,94
303485;Старший преподаватель;1,5;8623,0;4311,5;3048,9;15593,51
303505;Старший преподаватель;0,3;;2586,9;;2700,72
302296;Старший преподаватель;0,35;;3018,05;;2888,28
302296;Преподаватель;1,0;8019,0;;3048,9;10326,72
303436;Старший преподаватель;1,0;8623,0;;;8898,93
2088;Доцент;1,1;6938,82;693,88;;14690,0
302723;Ассистент;0,15;3969,0;1202,85;;6154,46
77036;Профессор;0,25;;2615,25;;4277,5
4750;Старший преподаватель;1,5;8623,0;4311,5;5841,0;17259,3
2744;Старший преподаватель;0,5;;4311,5;;4449,47
302941;Старший преподаватель;1,5;8623,0;4311,5;2466,2;15469,33
303236;Ассистент;0,6;4811,4;;;4185,92
74319;Старший преподаватель;0,15;;1293,45;;1334,84
74319;Старший преподаватель;1,35;8623,0;3018,05;;12013,57
584;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
72903;Профессор;1,25;10461,0;2615,25;10541,2;29757,28
302398;Старший преподаватель;0,5;;4311,5;;3751,0
1699;Доцент;1,05;9830,0;491,5;;15090,04
302715;Доцент;1,5;9361,9;4680,95;;21121,81
1761;Доцент;1,35;1376,75;481,86;;16994,55
302074;Профессор;1,0;11065,0;5230,5;9225,84;34280,8
302719;Ассистент;1,5;7075,59;3537,79;6061,22;15188,06
106179;Доцент;1,3;8623,0;2586,9;;12050,65
302563;Старший преподаватель;0,75;6467,25;;;4880,19
1213;Старший преподаватель;1,5;8623,0;4311,5;3894,0;17809,61
302934;Старший преподаватель;0,15;;1293,45;;1223,61
302934;Старший преподаватель;1,2;8623,0;1724,6;;9788,83
302329;Доцент;1,5;8623,0;4311,5;2439,12;16002,24
444;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
302159;Ассистент;0,5;3969,0;4009,5;;8909,51
1944;Старший преподаватель;1,0;10461,0;862,3;;18307,51
302383;Старший преподаватель;1,25;8623,0;2155,75;;10196,7
167665;Доцент;1,5;8623,0;4311,5;;13904,59
303082;Ассистент;1,25;8019,0;2004,75;;8620,42
303321;Ассистент;0,25;5392,0;2004,75;;9779,6
303231;Ассистент;1,5;8019,0;4009,5;;10344,5
8478;Доцент;1,5;9830,0;4915,0;;20289,12
178522;Старший преподаватель;1,5;72,47;36,23;;9138,33
303494;Ассистент;0,5;;4009,5;10870,75;12797,02
302966;Доцент;1,5;9830,0;4915,0;4715,63;25612,63
1462;Доцент;0,35;;3440,5;;5030,02
1462;Доцент;0,7;6881,0;;;10060,02
1656;Старший преподаватель;1,5;8623,0;4311,5;3894,0;17809,61
302830;Старший преподаватель;1,5;8623,0;4311,5;3894,0;14472,5
302945;Старший преподаватель;1,5;8623,0;4311,5;6327,75;16565,54
4667;Старший преподаватель;0,5;;4311,5;;4501,21
161169;Доцент;1,5;9830,0;4915,0;;17118,94
70184;Доцент;0,5;;4915,0;;6763,04
104694;Старший преподаватель;1,0;8623,0;;;8898,93
160954;Доцент;0,5;;4311,5;;5005,65
160954;Доцент;1,0;8623,0;;5691,28;14905,81
1424;Старший преподаватель;0,5;;4311,5;;4449,47
8967;Преподаватель;1,5;8019,0;4009,5;;13447,86
176314;Доцент;1,5;8623,0;4311,5;3252,16;16701,45
73740;Ассистент;0,25;;2004,75;;2068,9
1032;Доцент;0,1;;983,0;;1352,61
1032;Доцент;1,4;9830,0;3932,0;;18936,51
302360;Старший преподаватель;1,5;8623,0;4311,5;;14628,92
105887;Доцент;1,0;6938,82;3469,41;10541,2;29761,58
302371;Преподаватель;0,5;4009,5;;6538,67;9416,24
1214;Профессор;1,0;11065,0;5230,5;2667,36;28640,5
302459;Доцент;1,5;8623,0;4311,5;4268,46;22024,94
4319;Доцент;0,2;;346,94;;507,23
4319;Доцент;1,3;1734,71;520,41;2093,58;5097,46
302674;Старший преподаватель;1,5;8623,0;4311,5;2271,5;14189,53
2062;Профессор;1,0;8673,53;4336,76;1317,65;22851,31
302130;Ассистент;0,2;;1603,8;;1395,31
1504;Доцент;1,0;6938,82;;;13883,88
1038;Доцент;1,5;9830,0;4915,0;;21557,18
1530;Профессор;0,8;8368,8;;;13530,68
2383;Доцент;1,0;9830,0;;;14371,46
1181;Старший преподаватель;0,35;;2485,45;;2605,81
302393;Старший преподаватель;1,5;8623,0;4311,5;;13348,41
303606;Профессор;0,25;;3362,46;;4680,54
303510;Ассистент;1,0;8019,0;;;6976,53
105337;Доцент;0,5;;4915,0;;6841,68
303391;Старший преподаватель;0,05;;410,6;;464,39
303391;Старший преподаватель;0,95;7801,4;;;8823,38
300858;Доцент;0,25;;2004,75;;2499,92
300858;Доцент;1,25;8019,0;2004,75;;16568,46
101460;Доцент;1,5;9830,0;4915,0;3861,94;23610,39
74313;Доцент;1,3;9830,0;2949,0;;17583,91
302783;Ассистент;0,25;;2004,75;;2267,38
160256;Доцент;1,5;8623,0;4311,5;;15016,95
1860;Старший преподаватель;0,8;6898,4;;;7712,41
1775;Доцент;0,35;;3440,5;;5030,02
1775;Доцент;0,8;7864,0;;;11497,16
1778;Доцент;1,5;9830,0;4915,0;;21557,18
163455;Старший преподаватель;0,2;;1724,6;;1650,44
171394;Доцент;1,5;8623,0;4311,5;6057,15;19113,74
179870;Ассистент;1,5;8019,0;4009,5;4218,5;13972,42
302396;Доцент;1,3;8623,0;2586,9;;12050,65
303461;Ассистент;1,0;8019,0;;;6896,34
303455;Старший преподаватель;0,6;5173,8;;;4894,42
166566;Старший преподаватель;1,5;5579,59;2789,79;;7917,44
177288;Старший преподаватель;1,0;5392,0;2155,75;;9922,45
303413;Ассистент;0,25;2004,75;;;1744,13
301062;Доцент;1,5;8095,29;4047,65;10976,04;29845,2
1250;Доцент;0,2;;1966,0;;2874,29
1250;Доцент;1,0;9830,0;;;14371,46
2868;Старший преподаватель;0,5;;4311,5;;3707,89
303534;Ассистент;0,15;1202,85;;;1046,48
303460;Ассистент;1,0;7637,14;;;6803,24
1531;Ассистент;0,5;3724,0;4009,5;;9286,58
302312;Старший преподаватель;1,0;5392,0;3018,05;;10274,47
1437;Доцент;1,5;9830,0;4915,0;;21557,18
100364;Доцент;1,0;8673,53;;6605,95;18628,02
302362;Ассистент;0,35;;2806,65;;2413,72
303448;Ассистент;1,5;8019,0;4009,5;;10344,5
104071;Профессор;1,15;10461,0;1569,15;;19676,52
165621;Ассистент;0,3;;2405,7;;2302,25
1507;Ассистент;0,5;5392,0;4009,5;;12829,44
74332;Доцент;1,0;8623,0;;;10752,88
303556;Доцент;0,4;;5167,4;;8002,23
302772;Ассистент;0,5;4009,5;;;3448,16
303450;Ассистент;1,45;8019,0;3608,55;;9999,69
2832;Старший преподаватель;0,15;;1293,45;;1612,93
2832;Старший преподаватель;1,35;8623,0;3018,05;;14516,4
303462;Ассистент;1,0;8019,0;;;6896,34
302455;Доцент;0,3;;2405,7;;2406,91
1660;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
73703;Доцент;1,5;8019,0;4009,5;2439,12;16062,73
163832;Преподаватель;0,9;5155,07;;;6407,4
302469;Ассистент;0,5;4009,5;;;3448,16
1289;Профессор;1,0;9763,24;4615,15;20758,14;42974,95
178017;Старший преподаватель;1,0;5392,0;4311,5;;11961,78
4544;Доцент;1,0;8623,0;;;10011,3
4420;Доцент;0,5;;4009,5;;4709,16
101267;Доцент;1,3;8019,0;2405,7;;11206,56
302612;Старший преподаватель;1,5;8623,0;4311,5;8761,5;21995,66
302144;Преподаватель;1,15;8019,0;1202,85;;7930,79
2096;Профессор;1,0;9830,0;;6324,72;20656,1
167752;Старший преподаватель;1,0;8623,0;;;8157,36
302951;Профессор;0,5;;5230,5;;7189,85
302481;Доцент;0,6;4163,29;;;8055,14
3027;Доцент;1,0;6360,59;3180,29;;20784,6
303416;Ассистент;0,25;2004,75;;;1918,55
302712;Доцент;1,5;8019,0;4009,5;10976,04;25473,39
303463;Ассистент;0,25;2004,75;;;1744,13
302399;Старший преподаватель;1,5;8623,0;4311,5;1298,0;16530,51
1006;Преподаватель;0,05;;400,95;;448,27
9489;Старший преподаватель;1,5;8623,0;4311,5;5516,5;18463,38
303210;Ассистент;1,0;8019,0;;;6976,53
303495;Доцент;0,5;;4915,0;;7185,74
302326;Старший преподаватель;0,7;6036,1;;;5191,05
